LP	RUNDY	AVG1		AVG2		WIN
1	238		4.32692		3.67308		2
2	170		4.38462		3.61538		1
3	202		4		4		1
4	152		4.07692		3.92308		1
5	730		3.69231		4.30769		1
6	112		3.84615		4.15385		1
7	86		4.30769		3.69231		2
8	450		3.96154		4.03846		1
9	114		3.88462		4.11538		2
10	510		3.82692		4.17308		2
11	388		3.88462		4.11538		2
12	998		4.34615		3.65385		1
13	91		3.76923		4.23077		2
14	442		4.5		3.5		2
15	276		3.78846		4.21154		1
16	54		4.34615		3.65385		1
17	374		3.90385		4.09615		1
18	276		4.25		3.75		1
19	238		3.59615		4.40385		2
20	122		3.86538		4.13462		1
21	138		4.34615		3.65385		1
22	238		3.48077		4.51923		1
23	516		3.75		4.25		1
24	218		4.13462		3.86538		1
25	152		3.92308		4.07692		1
26	228		3.90385		4.09615		2
27	398		4.25		3.75		2
28	630		3.86538		4.13462		1
29	242		4.17308		3.82692		1
30	131		3.76923		4.23077		2
31	110		3.73077		4.26923		2
32	144		4.07692		3.92308		1
33	290		3.76923		4.23077		2
34	626		3.82692		4.17308		2
35	72		3.92308		4.07692		2
36	327		3.75		4.25		1
37	67		3.63462		4.36538		2
38	106		4.44231		3.55769		2
39	48		4.63462		3.36538		1
40	508		3.78846		4.21154		2
41	137		4.09615		3.90385		1
42	204		4.63462		3.36538		2
43	128		4.03846		3.96154		1
44	44		4.21154		3.78846		1
45	84		4.23077		3.76923		2
46	86		3.76923		4.23077		2
47	70		3.48077		4.51923		2
48	328		4.13462		3.86538		2
49	284		3.94231		4.05769		1
50	286		3.86538		4.13462		1
51	174		3.80769		4.19231		1
52	82		4.05769		3.94231		1
53	88		3.84615		4.15385		2
54	198		3.82692		4.17308		2
55	140		4.25		3.75		1
56	104		3.86538		4.13462		1
57	554		3.80769		4.19231		1
58	162		3.96154		4.03846		2
59	130		3.90385		4.09615		2
60	348		4.17308		3.82692		1
61	162		3.90385		4.09615		1
62	58		4.53846		3.46154		1
63	152		4.42308		3.57692		2
64	76		4.07692		3.92308		2
65	164		4.34615		3.65385		1
66	372		4.19231		3.80769		2
67	256		4.55769		3.44231		2
68	96		3.61538		4.38462		2
69	70		4.38462		3.61538		1
70	165		4.19231		3.80769		1
71	360		4.07692		3.92308		1
72	222		4.48077		3.51923		1
73	82		3.88462		4.11538		2
74	266		3.71154		4.28846		1
75	346		3.82692		4.17308		1
76	256		4.05769		3.94231		2
77	111		3.98077		4.01923		1
78	440		3.59615		4.40385		1
79	59		3.65385		4.34615		2
80	104		3.73077		4.26923		2
81	312		3.59615		4.40385		2
82	456		4.17308		3.82692		2
83	238		3.92308		4.07692		2
84	282		3.98077		4.01923		1
85	188		3.73077		4.26923		2
86	220		3.30769		4.69231		1
87	534		4		4		1
88	156		4.11538		3.88462		1
89	202		4.11538		3.88462		1
90	228		3.65385		4.34615		2
91	498		4.17308		3.82692		1
92	310		4.34615		3.65385		1
93	324		4.38462		3.61538		2
94	74		4.21154		3.78846		1
95	40		4.51923		3.48077		1
96	192		3.82692		4.17308		2
97	606		3.96154		4.03846		2
98	632		4.25		3.75		1
99	454		4.30769		3.69231		2
100	268		4.44231		3.55769		2
101	66		3.94231		4.05769		1
102	310		4.01923		3.98077		1
103	110		3.84615		4.15385		2
104	864		3.73077		4.26923		1
105	434		3.86538		4.13462		2
106	156		3.67308		4.32692		1
107	264		4		4		1
108	158		4.23077		3.76923		2
109	326		3.98077		4.01923		1
110	200		3.90385		4.09615		1
111	48		3.63462		4.36538		2
112	250		4.42308		3.57692		2
113	324		4.07692		3.92308		1
114	214		3.80769		4.19231		2
115	452		4.51923		3.48077		1
116	530		3.63462		4.36538		2
117	100		4.01923		3.98077		1
118	97		3.98077		4.01923		1
119	136		3.86538		4.13462		1
120	410		4.01923		3.98077		1
121	188		3.63462		4.36538		2
122	401		4.17308		3.82692		1
123	370		3.48077		4.51923		1
124	392		4.19231		3.80769		2
125	316		3.55769		4.44231		2
126	106		4.05769		3.94231		2
127	566		4.17308		3.82692		1
128	80		4.15385		3.84615		1
129	66		4.13462		3.86538		1
130	350		3.46154		4.53846		2
131	240		3.86538		4.13462		1
132	161		4.36538		3.63462		2
133	516		3.76923		4.23077		1
134	894		3.92308		4.07692		2
135	282		4		4		2
136	448		4.03846		3.96154		1
137	438		4.13462		3.86538		2
138	166		4.28846		3.71154		1
139	122		3.82692		4.17308		2
140	326		3.75		4.25		1
141	300		4.05769		3.94231		1
142	170		4.40385		3.59615		1
143	516		4.25		3.75		1
144	124		4.30769		3.69231		2
145	94		4.26923		3.73077		1
146	163		3.86538		4.13462		2
147	372		4.09615		3.90385		2
148	282		3.84615		4.15385		2
149	157		4.07692		3.92308		2
150	242		3.80769		4.19231		2
151	254		4.09615		3.90385		1
152	161		3.86538		4.13462		2
153	124		4.07692		3.92308		2
154	422		3.92308		4.07692		1
155	354		3.82692		4.17308		1
156	68		3.51923		4.48077		2
157	304		4.46154		3.53846		2
158	192		3.80769		4.19231		2
159	155		3.76923		4.23077		1
160	55		4.40385		3.59615		1
161	206		4.23077		3.76923		2
162	420		4.17308		3.82692		2
163	270		4		4		1
164	549		4.26923		3.73077		2
165	88		4.11538		3.88462		1
166	176		4.07692		3.92308		2
167	218		3.63462		4.36538		2
168	184		4.03846		3.96154		2
169	156		3.76923		4.23077		2
170	202		3.90385		4.09615		2
171	142		3.98077		4.01923		2
172	242		3.86538		4.13462		2
173	548		3.98077		4.01923		2
174	160		4.42308		3.57692		2
175	224		4.38462		3.61538		1
176	80		4.03846		3.96154		1
177	326		3.94231		4.05769		1
178	80		4.34615		3.65385		1
179	80		3.86538		4.13462		2
180	76		4.48077		3.51923		1
181	167		3.5		4.5		1
182	222		3.94231		4.05769		2
183	350		3.94231		4.05769		1
184	60		3.67308		4.32692		2
185	432		3.82692		4.17308		2
186	342		3.69231		4.30769		1
187	332		4.19231		3.80769		2
188	215		4.15385		3.84615		2
189	70		3.69231		4.30769		2
190	246		4.13462		3.86538		2
191	532		4.13462		3.86538		1
192	220		3.75		4.25		2
193	122		3.98077		4.01923		1
194	140		4.76923		3.23077		1
195	166		4.01923		3.98077		1
196	374		4.03846		3.96154		2
197	150		3.98077		4.01923		2
198	100		4.30769		3.69231		1
199	170		4.19231		3.80769		1
200	214		3.88462		4.11538		2
Średnio rund	251
Zwycięstwa gracza1	102
Zwycięstwa gracza2	98
Średnia średnich talii począkowych gracza1	4.01048
Średnia średnich talii począkowych gracza2	3.98952
